epoch,loss_d,loss_g
1,2.0300,1.1264
3,1.9944,1.1060
4,2.0120,1.1068
6,2.0068,1.1206
7,1.9887,1.1006
9,1.9848,1.1362
10,1.9976,1.0784
12,1.9853,1.1183
14,1.9901,1.1012
15,1.9714,1.0793
17,1.9540,1.1060
18,1.9666,1.1122
20,1.9470,1.1230
21,1.9543,1.0449
23,1.9278,1.0697
24,1.8871,1.0185
26,1.9331,1.1301
28,1.9112,1.0992
29,1.9914,1.0343
31,1.9544,1.0743
32,1.9143,1.0138
34,1.9427,1.0398
35,1.8927,1.0555
37,1.9174,1.0856
39,1.9385,1.0325
40,1.9022,1.1492
42,1.9000,1.0159
43,1.9092,1.0775
45,1.8921,1.0444
46,1.8827,1.0411
48,1.9206,1.0452
49,1.8648,1.0593
51,1.9140,1.0658
53,1.8699,0.9891
54,1.8932,1.0515
56,1.9104,1.0805
57,1.8518,1.0755
59,1.9072,1.0293
60,1.8658,1.0449
62,1.8660,1.0583
64,1.8942,1.0446
65,1.8744,1.0051
67,1.8358,1.3013
68,1.8342,1.1139
70,1.8599,1.0089
71,1.8445,1.0304
73,1.9129,1.0507
74,1.8146,0.9927
76,1.8804,1.0157
78,1.8576,1.0393
79,1.8487,1.0135
81,1.8463,1.0582
82,1.8453,1.0678
84,1.8426,1.0546
85,1.8465,1.0144
87,1.8564,0.9604
89,1.8521,0.9979
90,1.8829,1.0059
92,1.8462,1.0000
93,1.8447,0.9249
95,1.8273,1.0516
96,1.8898,1.1053
98,1.8651,0.9559
99,1.8429,1.0048
101,1.8425,1.0298
103,1.8219,1.0394
104,1.8091,1.0043
106,1.8552,0.9718
107,1.8922,1.0246
109,1.8483,1.0573
110,1.8172,0.9842
112,1.8672,1.1426
114,1.8631,1.0153
115,1.8175,1.0116
117,1.8342,1.0162
118,1.8629,1.1915
120,1.8218,1.0868
121,1.9209,0.6818
123,1.8249,1.0158
124,1.8059,1.1339
126,1.8433,0.9622
128,1.8314,0.9957
129,1.8449,1.0361
131,1.8092,1.0691
132,1.8708,1.0234
134,1.9193,1.0567
135,1.8362,1.0109
137,1.8098,1.0378
139,1.8916,0.9400
140,1.8283,1.0851
142,1.8214,1.0092
143,1.8517,0.9776
145,1.8096,1.0444
146,1.8738,1.0039
148,1.8331,1.0737
149,1.7578,1.1814
151,1.8489,1.0255
153,1.7991,1.1355
154,1.8175,1.0659
156,1.8631,1.0351
157,1.7934,1.0381
159,1.8042,0.9685
160,1.8075,1.0531
162,1.7930,1.0048
164,1.8601,0.9988
165,1.8146,1.0231
167,1.7496,1.0634
168,1.8607,1.0339
170,1.8481,1.0049
171,1.8026,1.0175
173,1.8129,0.9754
174,1.7928,1.0534
176,1.8593,1.0580
178,1.8115,1.0193
179,1.7641,0.9944
181,1.7951,1.0256
182,1.8251,1.0647
184,1.9076,1.0648
185,1.8832,1.0057
187,1.8834,0.9535
189,1.7896,1.0620
190,1.8331,1.0634
192,1.7719,0.9976
193,1.8217,0.9833
195,1.8688,1.0149
196,1.8858,1.1775
198,1.8475,1.0199
199,1.8001,0.9589
201,1.7658,1.1320
203,1.7964,0.9624
204,1.7306,1.0547
206,1.8284,1.0484
207,1.7801,1.0197
209,1.7653,1.0981
210,1.8010,1.0243
212,1.8103,1.0054
214,1.7376,1.1072
215,1.7582,1.0834
217,1.8627,1.0409
218,1.8178,1.0080
220,1.8124,1.0399
221,1.7908,0.9571
223,1.7580,1.0620
224,1.7087,1.0783
226,1.8305,1.0037
228,1.8145,1.0436
229,1.7923,1.0410
231,1.8810,0.8805
232,1.8021,1.0465
234,1.7765,1.1418
235,1.7340,1.1498
237,1.8567,1.0290
239,1.7857,1.0133
240,1.7473,0.9925
242,1.8217,1.0773
243,1.8577,1.1077
245,1.8518,1.2257
246,1.8197,1.0333
248,1.8875,1.1310
249,1.7955,0.9920
251,1.8347,1.0149
253,1.7790,0.9712
254,1.8207,1.1294
256,1.7876,1.0870
257,1.8404,1.1231
259,1.7877,1.0425
260,1.7946,1.0143
262,1.7903,1.0434
264,1.7764,1.1296
265,1.7689,0.9666
267,1.7904,1.2099
268,1.7317,0.9083
270,1.8153,1.0316
271,1.7764,0.9398
273,1.7991,1.0585
274,1.7717,1.0349
